,YEAR,STATE,LESS_HS,HS,SOM_COL,COL_PLUS
0,2008,California,0.061313360041804564,0.07479700187382886,0.06561976738923836,0.077315296566077
69886,2009,California,0.05862685190522856,0.07459135906684061,0.0608274647887324,0.07367392087256264
142071,2010,California,0.05649588289112535,0.07249337873628453,0.05764889737801704,0.06750345918165647
214623,2011,California,0.05658119658119658,0.06554511688879179,0.05784876252462105,0.07244965927140441
288201,2012,California,0.052275773646482886,0.0679931184082579,0.05635111730663625,0.06916455192317261
361128,2013,California,0.04427842565597668,0.06500260010400416,0.05474743240410816,0.06845224207923102
435265,2014,California,0.04271577101340348,0.061068128896567264,0.056244445384908366,0.06901975297219781
509002,2015,California,0.04072368847675248,0.060492466005145164,0.05249019273409517,0.06662845048064203
583290,2016,California,0.03771682129891085,0.06605836663901668,0.05317026628502038,0.0666293634055008
656675,2017,California,0.03779111301614516,0.06315251514930277,0.0533025846314507,0.06275737110854884
731143,2018,California,0.03206782159970512,0.05973337261545261,0.048999784899978485,0.06434080645805859
805909,2019,California,0.03420708740103005,0.05685796924950525,0.053224570733246206,0.06304728546409807
880497,2008,North Carolina,0.062444246208742185,0.06814941545480467,0.05853658536585366,0.07231283159756338
898131,2009,North Carolina,0.06449721489299326,0.06870229007633588,0.06034750232702452,0.07147018838609437
916451,2010,North Carolina,0.05533834586466165,0.0779554540262707,0.06442831215970962,0.06952191235059761
934481,2011,North Carolina,0.06215022091310751,0.06605399195864446,0.060276826908766186,0.06471998256700806
952462,2012,North Carolina,0.0496875,0.06747512437810946,0.05843230403800475,0.07179147338193062
969332,2013,North Carolina,0.04698608964451314,0.05695243865495304,0.05299608551641072,0.05983389958474896
987487,2014,North Carolina,0.04048070841239722,0.06721105527638191,0.05402542372881356,0.07097882083571838
1005476,2015,North Carolina,0.039461609054756805,0.05957311245619624,0.057092875318066165,0.06842692450725177
1023281,2016,North Carolina,0.031416902293433864,0.058693594193751975,0.05875900971482294,0.06636315881631938
1041499,2017,North Carolina,0.031682559212549984,0.06015960712093309,0.05545112781954887,0.07371418998157145
1060146,2018,North Carolina,0.03932946486137976,0.0555729004058695,0.05525291828793773,0.06430659304969145
1078869,2019,North Carolina,0.031197584703119764,0.06335109532267615,0.056823623304070224,0.06890373024922626
1097619,2008,Ohio,0.04966641957005189,0.06525315298848472,0.06068528966561167,0.08321060382916053
1119317,2009,Ohio,0.04676169042260565,0.061648877438351124,0.06631407648494711,0.07973048848961257
1141389,2010,Ohio,0.043118576084231634,0.06594488188976377,0.06180081855388812,0.07371323529411765
1162550,2011,Ohio,0.0451530612244898,0.06426886792452831,0.05601984852441892,0.0811932042670881
1184107,2012,Ohio,0.04645622394282311,0.06347305389221558,0.05840627829761545,0.07677589093518297
1201951,2013,Ohio,0.036650615302300696,0.06587837837837837,0.05890880337374803,0.06915854098952691
1222841,2014,Ohio,0.04214765100671141,0.0582874099194574,0.057271733187534174,0.07015669515669516
1243910,2015,Ohio,0.04152915291529153,0.06790256520801898,0.05415754923413567,0.0761080699276002
1264693,2016,Ohio,0.038331454340473504,0.06299212598425198,0.05675597810429271,0.06867989646246764
1285036,2017,Ohio,0.03666571183042108,0.0700261780104712,0.057214624616243374,0.07462932454695223
1306065,2018,Ohio,0.03588860178007465,0.06798679867986797,0.058689458689458684,0.07283689098908261
1326937,2019,Ohio,0.037674280628893504,0.061830893598426924,0.054599850411368736,0.08061175720885773
1347640,2008,Illinois,0.04775280898876405,0.06698564593301436,0.06278412581398206,0.08207683230628032
1372290,2009,Illinois,0.049065946432590594,0.06892982819292072,0.06085444610034774,0.0753669178897263
1397041,2010,Illinois,0.039535403171766806,0.0693886185741485,0.05772113943028486,0.07884295405094073
1421580,2011,Illinois,0.04090706980880391,0.06339511373209772,0.051910140880822436,0.07353142544159934
1445799,2012,Illinois,0.04378402903811252,0.05499340079190497,0.054040404040404035,0.07125796178343949
1469702,2013,Illinois,0.03424657534246575,0.060143626570915626,0.05019011406844106,0.07411116675012519
1493980,2014,Illinois,0.033595425303788416,0.06350314026517795,0.05377604166666667,0.07625079164027866
1517799,2015,Illinois,0.0339781746031746,0.05771842462652784,0.059420483375617575,0.07238673753480132
1541362,2016,Illinois,0.02873124841088228,0.06484804977267289,0.0532156705441904,0.0729556709747554
1564880,2017,Illinois,0.03461637819684836,0.05867346938775511,0.05595567867036011,0.07702803274621682
1588135,2018,Illinois,0.028259130898427087,0.06335822693326909,0.05928581276713085,0.07489401789919925
1611558,2019,Illinois,0.027509926262053317,0.05496499870365569,0.05,0.06853509185115403
1634174,2016,Wyoming,0.07446808510638298,0.06635071090047394,0.07542579075425791,0.09777777777777777
1635100,2017,Wyoming,0.011627906976744186,0.08636363636363636,0.06521739130434782,0.06551724137931035
1636079,2008,Louisiana,0.06955530216647662,0.07015945330296128,0.08045977011494253,0.078777189888301
1644111,2009,Louisiana,0.05885588558855887,0.06941230911614993,0.05832693783576363,0.07601438109912688
1652485,2010,Louisiana,0.048845947396672036,0.08667287977632805,0.06556141672946496,0.08277289187790997
1660911,2011,Louisiana,0.045375218150087264,0.07101167315175097,0.06911928651059086,0.06685393258426968
1668930,2012,Louisiana,0.050741163055872285,0.05988023952095808,0.05848375451263538,0.07079181961195595
1677187,2013,Louisiana,0.04978749241044323,0.0748853795211411,0.0611945767680469,0.06785537394749876
1685415,2014,Louisiana,0.03905249679897567,0.0665291387313048,0.05468451242829828,0.07007007007007007
1693383,2015,Louisiana,0.04486345903771132,0.07116303770578862,0.07456472369417108,0.07194244604316546
1701370,2016,Louisiana,0.050558108995403805,0.06745182012847965,0.058130081300813014,0.06929740134744948
1709184,2017,Louisiana,0.04808317089018843,0.05463310123192287,0.0604206500956023,0.07446808510638298
1717260,2018,Louisiana,0.0403899721448468,0.07206266318537859,0.06885758998435054,0.06247191011235955
1725242,2019,Louisiana,0.044299201161946265,0.07736063708759955,0.05423865006026517,0.0631346578366446
1733120,2008,Indiana,0.05103969754253308,0.07251424952501584,0.060669946123213865,0.0912574016022292
1745762,2009,Indiana,0.051331532226939404,0.07425580634609094,0.06633461625537695,0.0756638777737359
